Number,FileName,Value,Digits,Length,Width,Height,Box
66,66.png,95,"[9, 5]",2,92,42,"[38, 6, 60, 36]"
67,67.png,10,"[1, 0]",2,126,62,"[48, 4, 81, 52]"
68,68.png,542,"[5, 4, 2]",3,187,82,"[71, 14, 122, 54]"
69,69.png,44,"[4, 4]",2,134,69,"[54, 12, 81, 62]"
70,70.png,31,"[3, 1]",2,63,27,"[20, 5, 37, 21]"
71,71.png,2386,"[2, 3, 8, 6]",4,91,32,"[24, 3, 68, 26]"
72,72.png,15,"[1, 5]",2,68,27,"[26, 5, 45, 23]"
73,73.png,3,[3],1,41,20,"[18, 3, 23, 17]"
74,74.png,33,"[3, 3]",2,81,35,"[28, 4, 52, 32]"
75,75.png,18,"[1, 8]",2,85,45,"[34, 9, 51, 39]"
76,76.png,98,"[9, 8]",2,53,22,"[22, 2, 35, 20]"
77,77.png,739,"[7, 3, 9]",3,189,79,"[53, 4, 130, 66]"
78,78.png,138,"[1, 3, 8]",3,175,47,"[78, 12, 104, 36]"
79,79.png,1922,"[1, 9, 2, 2]",4,224,92,"[40, 11, 169, 92]"
80,80.png,22,"[2, 2]",2,100,41,"[38, 8, 70, 30]"
81,81.png,74,"[7, 4]",2,131,56,"[49, 7, 81, 39]"
82,82.png,45,"[4, 5]",2,107,46,"[35, 6, 72, 38]"
83,83.png,60,"[6, 0]",2,106,50,"[36, 6, 65, 44]"
84,84.png,3,[3],1,85,42,"[34, 6, 54, 38]"
85,85.png,17,"[1, 7]",2,49,23,"[17, 6, 30, 22]"
86,86.png,35,"[3, 5]",2,70,32,"[26, 4, 42, 25]"
87,87.png,17,"[1, 7]",2,167,73,"[67, 16, 105, 52]"
88,88.png,5,[5],1,119,63,"[47, 13, 74, 49]"
89,89.png,18,"[1, 8]",2,233,109,"[85, 19, 143, 87]"
90,90.png,164,"[1, 6, 4]",3,111,46,"[37, 6, 74, 40]"
91,91.png,193,"[1, 9, 3]",3,125,56,"[49, 13, 79, 44]"
92,92.png,35,"[3, 5]",2,110,49,"[35, 6, 70, 43]"
93,93.png,17,"[1, 7]",2,113,52,"[40, 7, 70, 43]"
94,94.png,12,"[1, 2]",2,144,62,"[54, 12, 86, 52]"
95,95.png,1044,"[1, 0, 4, 4]",4,294,126,"[127, 58, 167, 86]"
96,96.png,18,"[1, 8]",2,119,48,"[33, 5, 88, 45]"
97,97.png,36,"[3, 6]",2,98,47,"[34, 6, 62, 40]"
98,98.png,120,"[1, 2, 0]",3,157,57,"[50, 7, 112, 48]"
99,99.png,2,[2],1,76,38,"[30, 4, 47, 33]"
100,100.png,109,"[1, 0, 9]",3,67,27,"[18, 0, 42, 23]"
101,101.png,53,"[5, 3]",2,81,39,"[27, 5, 54, 34]"
102,102.png,35,"[3, 5]",2,156,78,"[58, 9, 93, 65]"
103,103.png,7,[7],1,96,34,"[54, 2, 74, 30]"
104,104.png,104,"[1, 0, 4]",3,219,101,"[67, 12, 148, 89]"
105,105.png,14,"[1, 4]",2,277,119,"[83, 10, 197, 113]"
106,106.png,14,"[1, 4]",2,97,39,"[37, 12, 60, 29]"
107,107.png,52,"[5, 2]",2,128,57,"[49, 13, 80, 45]"
108,108.png,2,[2],1,71,35,"[28, 3, 42, 30]"
109,109.png,30,"[3, 0]",2,113,53,"[38, 10, 71, 39]"
110,110.png,63,"[6, 3]",2,52,21,"[16, 1, 38, 19]"
111,111.png,9,[9],1,55,28,"[23, 8, 34, 28]"
112,112.png,187,"[1, 8, 7]",3,117,46,"[31, 1, 82, 43]"
113,113.png,13,"[1, 3]",2,59,27,"[19, 1, 39, 24]"
114,114.png,19,"[1, 9]",2,75,38,"[29, 4, 47, 34]"
115,115.png,32,"[3, 2]",2,77,33,"[26, 1, 51, 27]"
116,116.png,513,"[5, 1, 3]",3,77,33,"[27, 11, 49, 26]"
117,117.png,48,"[4, 8]",2,455,193,"[145, 8, 311, 158]"
118,118.png,3421,"[3, 4, 2, 1]",4,63,19,"[13, 1, 47, 17]"
119,119.png,323,"[3, 2, 3]",3,259,118,"[91, 33, 174, 103]"
120,120.png,51,"[5, 1]",2,171,81,"[65, 20, 101, 60]"
121,121.png,1358,"[1, 3, 5, 8]",4,119,34,"[32, 7, 92, 29]"
122,122.png,17,"[1, 7]",2,54,27,"[21, 1, 31, 25]"
123,123.png,6,[6],1,62,33,"[25, 5, 35, 27]"
124,124.png,5,[5],1,48,26,"[19, 1, 29, 24]"
125,125.png,64,"[6, 4]",2,50,21,"[18, 3, 33, 20]"
126,126.png,108,"[1, 0, 8]",3,173,75,"[56, 8, 118, 66]"
127,127.png,8,[8],1,107,50,"[32, 15, 48, 51]"
128,128.png,13,"[1, 3]",2,135,75,"[56, 16, 76, 67]"
129,129.png,68,"[6, 8]",2,58,27,"[21, 5, 38, 22]"
130,130.png,4,[4],1,68,31,"[26, 4, 43, 25]"
131,131.png,174,"[1, 7, 4]",3,80,32,"[24, 5, 55, 24]"
132,132.png,98,"[9, 8]",2,236,104,"[78, 8, 158, 87]"
133,133.png,44,"[4, 4]",2,268,129,"[91, 13, 176, 113]"
134,134.png,9,[9],1,39,19,"[16, 2, 25, 16]"
135,135.png,68,"[6, 8]",2,80,34,"[26, 2, 53, 31]"
136,136.png,2,[2],1,113,62,"[52, 10, 67, 47]"
137,137.png,10,"[1, 0]",2,136,64,"[50, 10, 87, 53]"
138,138.png,46,"[4, 6]",2,160,69,"[60, 15, 101, 56]"
139,139.png,28,"[2, 8]",2,69,28,"[21, 1, 48, 25]"
140,140.png,9,[9],1,53,21,"[18, 1, 30, 19]"
141,141.png,39,"[3, 9]",2,68,32,"[25, 2, 43, 28]"
142,142.png,4,[4],1,253,119,"[92, 7, 157, 94]"
143,143.png,41,"[4, 1]",2,134,50,"[51, 13, 81, 38]"
144,144.png,195,"[1, 9, 5]",3,92,39,"[27, 3, 62, 31]"
145,145.png,33,"[3, 3]",2,255,141,"[93, 18, 158, 116]"
146,146.png,2518,"[2, 5, 1, 8]",4,73,26,"[23, 4, 52, 20]"
147,147.png,15,"[1, 5]",2,74,33,"[28, 3, 48, 27]"
148,148.png,300,"[3, 0, 0]",3,347,167,"[140, 42, 202, 73]"
149,149.png,47,"[4, 7]",2,52,24,"[19, 3, 35, 20]"
150,150.png,286,"[2, 8, 6]",3,261,92,"[136, 35, 185, 63]"
151,151.png,33,"[3, 3]",2,80,33,"[25, 4, 55, 25]"
152,152.png,207,"[2, 0, 7]",3,133,54,"[52, 8, 87, 47]"
153,153.png,19,"[1, 9]",2,75,41,"[30, 7, 45, 35]"
154,154.png,2,[2],1,53,27,"[18, 3, 32, 23]"
155,155.png,7,[7],1,153,71,"[68, 13, 90, 57]"
156,156.png,6,[6],1,85,48,"[35, 9, 51, 37]"
157,157.png,57,"[5, 7]",2,127,52,"[37, 7, 88, 44]"
158,158.png,2,[2],1,261,133,"[113, 34, 166, 115]"
159,159.png,91,"[9, 1]",2,92,43,"[28, 6, 65, 40]"
160,160.png,208,"[2, 0, 8]",3,127,50,"[49, 9, 83, 38]"
161,161.png,85,"[8, 5]",2,248,113,"[91, 25, 151, 89]"
162,162.png,3,[3],1,87,45,"[32, 1, 53, 37]"
163,163.png,560,"[5, 6, 0]",3,364,188,"[148, 46, 209, 85]"
164,164.png,5,[5],1,131,70,"[57, 10, 81, 67]"
165,165.png,176,"[1, 7, 6]",3,147,68,"[45, 12, 101, 54]"
166,166.png,754,"[7, 5, 4]",3,131,50,"[40, 7, 93, 45]"
167,167.png,15,"[1, 5]",2,74,28,"[30, 8, 46, 23]"
168,168.png,282,"[2, 8, 2]",3,80,39,"[30, 8, 50, 33]"
169,169.png,42,"[4, 2]",2,88,39,"[26, 3, 61, 36]"
170,170.png,76,"[7, 6]",2,85,41,"[30, 4, 57, 36]"
171,171.png,419,"[4, 1, 9]",3,178,71,"[53, 13, 120, 56]"
172,172.png,21,"[2, 1]",2,84,41,"[31, 6, 49, 32]"
173,173.png,11,"[1, 1]",2,49,24,"[17, 4, 30, 21]"
174,174.png,59,"[5, 9]",2,89,39,"[31, 4, 58, 31]"
175,175.png,568,"[5, 6, 8]",3,97,41,"[28, 8, 67, 36]"
176,176.png,5,[5],1,163,76,"[82, 15, 115, 65]"
177,177.png,158,"[1, 5, 8]",3,310,124,"[125, 45, 192, 101]"
178,178.png,21,"[2, 1]",2,78,39,"[31, 5, 48, 31]"
179,179.png,25,"[2, 5]",2,87,42,"[33, 1, 53, 32]"
180,180.png,1742,"[1, 7, 4, 2]",4,67,26,"[16, 4, 50, 22]"
181,181.png,37,"[3, 7]",2,123,56,"[45, 6, 82, 49]"
182,182.png,34,"[3, 4]",2,108,47,"[29, 1, 77, 43]"
183,183.png,21,"[2, 1]",2,64,31,"[22, 2, 40, 26]"
184,184.png,2800,"[2, 8, 0, 0]",4,198,76,"[53, 28, 138, 67]"
185,185.png,256,"[2, 5, 6]",3,38,15,"[10, 1, 28, 13]"
186,186.png,130,"[1, 3, 0]",3,152,75,"[34, 8, 101, 59]"
187,187.png,19,"[1, 9]",2,66,27,"[20, 1, 49, 27]"
188,188.png,45,"[4, 5]",2,115,52,"[38, 11, 72, 44]"
189,189.png,9,[9],1,90,42,"[35, 4, 55, 35]"
190,190.png,26,"[2, 6]",2,44,18,"[15, 3, 28, 15]"
191,191.png,159,"[1, 5, 9]",3,85,32,"[26, 5, 57, 27]"
192,192.png,3,[3],1,56,28,"[22, 2, 34, 24]"
193,193.png,1,[1],1,257,133,"[123, 24, 146, 109]"
194,194.png,43,"[4, 3]",2,110,48,"[47, 13, 67, 33]"
195,195.png,12,"[1, 2]",2,48,19,"[15, 3, 27, 17]"
196,196.png,1,[1],1,115,70,"[45, 10, 70, 61]"
197,197.png,316,"[3, 1, 6]",3,70,33,"[23, 4, 45, 29]"
198,198.png,297,"[2, 9, 7]",3,119,47,"[29, 8, 85, 41]"
199,199.png,20,"[2, 0]",2,427,218,"[145, 34, 274, 190]"
200,200.png,318,"[3, 1, 8]",3,188,56,"[97, 4, 144, 42]"
201,201.png,23,"[2, 3]",2,90,48,"[31, 3, 69, 42]"
202,202.png,105,"[1, 0, 5]",3,268,112,"[148, 56, 202, 105]"
203,203.png,241,"[2, 4, 1]",3,186,85,"[69, 9, 117, 69]"
204,204.png,4,[4],1,74,35,"[32, 4, 44, 26]"
205,205.png,49,"[4, 9]",2,72,37,"[28, 7, 46, 32]"
206,206.png,49,"[4, 9]",2,283,189,"[223, 91, 253, 126]"
207,207.png,111,"[1, 1, 1]",3,335,145,"[118, 34, 223, 114]"
208,208.png,9,[9],1,49,22,"[24, 3, 34, 21]"
209,209.png,188,"[1, 8, 8]",3,129,54,"[42, 2, 88, 46]"
210,210.png,26,"[2, 6]",2,133,59,"[46, 8, 89, 49]"
211,211.png,27,"[2, 7]",2,67,26,"[19, 2, 43, 20]"
212,212.png,29,"[2, 9]",2,107,53,"[43, 13, 62, 42]"
213,213.png,1,[1],1,135,70,"[59, 4, 78, 56]"
214,214.png,8,[8],1,80,35,"[32, 3, 45, 27]"
215,215.png,302,"[3, 0, 2]",3,148,50,"[43, 7, 114, 41]"
216,216.png,280,"[2, 8, 0]",3,208,82,"[63, 13, 144, 69]"
217,217.png,2,[2],1,123,61,"[50, 12, 73, 49]"
218,218.png,18,"[1, 8]",2,59,27,"[21, 2, 36, 23]"
219,219.png,328,"[3, 2, 8]",3,327,138,"[82, 19, 170, 118]"
220,220.png,51,"[5, 1]",2,140,68,"[47, 4, 96, 60]"
221,221.png,157,"[1, 5, 7]",3,82,35,"[25, 4, 57, 31]"
222,222.png,2,[2],1,59,31,"[23, 4, 32, 23]"
223,223.png,190,"[1, 9, 0]",3,73,28,"[23, 3, 51, 24]"
224,224.png,68,"[6, 8]",2,133,67,"[48, 14, 86, 56]"
225,225.png,2,[2],1,89,41,"[41, 10, 51, 32]"
226,226.png,136,"[1, 3, 6]",3,74,33,"[23, 4, 50, 28]"
227,227.png,1,[1],1,53,26,"[22, 5, 27, 21]"
228,228.png,111,"[1, 1, 1]",3,139,55,"[59, 12, 91, 45]"
229,229.png,72,"[7, 2]",2,53,26,"[19, 5, 36, 20]"
230,230.png,3,[3],1,107,55,"[44, 5, 67, 47]"
231,231.png,144,"[1, 4, 4]",3,103,47,"[38, 11, 65, 39]"
232,232.png,10,"[1, 0]",2,78,41,"[30, 8, 45, 32]"
233,233.png,1358,"[1, 3, 5, 8]",4,141,48,"[35, 9, 107, 42]"
234,234.png,84,"[8, 4]",2,105,41,"[44, 10, 64, 32]"
235,235.png,210,"[2, 1, 0]",3,124,56,"[39, 9, 78, 44]"
236,236.png,114,"[1, 1, 4]",3,168,76,"[63, 18, 104, 59]"
237,237.png,193,"[1, 9, 3]",3,325,112,"[142, 45, 172, 76]"
238,238.png,77,"[7, 7]",2,94,40,"[30, 8, 64, 30]"
239,239.png,140,"[1, 4, 0]",3,75,28,"[22, 2, 51, 23]"
240,240.png,39,"[3, 9]",2,285,149,"[127, 41, 166, 80]"
241,241.png,15,"[1, 5]",2,44,19,"[15, 3, 28, 18]"
242,242.png,15,"[1, 5]",2,78,34,"[23, 5, 50, 29]"
243,243.png,2363,"[2, 3, 6, 3]",4,88,28,"[28, 6, 60, 20]"
244,244.png,15,"[1, 5]",2,87,43,"[34, 8, 54, 38]"
245,245.png,38,"[3, 8]",2,88,39,"[29, 8, 55, 31]"
246,246.png,51,"[5, 1]",2,175,84,"[63, 16, 102, 60]"
247,247.png,2,[2],1,38,19,"[13, 1, 24, 17]"
248,248.png,7,[7],1,63,31,"[23, 4, 39, 26]"
249,249.png,10,"[1, 0]",2,78,35,"[30, 4, 49, 32]"
250,250.png,78,"[7, 8]",2,67,33,"[24, 3, 41, 25]"
251,251.png,76,"[7, 6]",2,206,98,"[70, 7, 142, 91]"
252,252.png,370,"[3, 7, 0]",3,112,56,"[-1, 6, 63, 60]"
253,253.png,19,"[1, 9]",2,98,53,"[35, 7, 58, 45]"
254,254.png,35,"[3, 5]",2,95,41,"[30, 4, 65, 37]"
255,255.png,93,"[9, 3]",2,174,76,"[55, 8, 119, 63]"
256,256.png,28,"[2, 8]",2,97,42,"[31, 2, 68, 36]"
257,257.png,11,"[1, 1]",2,202,90,"[80, 30, 118, 76]"
258,258.png,56,"[5, 6]",2,155,67,"[45, 1, 111, 63]"
259,259.png,5,[5],1,119,61,"[51, 14, 70, 44]"
260,260.png,36,"[3, 6]",2,51,25,"[2, 2, 35, 22]"
261,261.png,14,"[1, 4]",2,45,18,"[15, 1, 24, 17]"
262,262.png,241,"[2, 4, 1]",3,158,82,"[59, 23, 101, 72]"
263,263.png,71,"[7, 1]",2,118,62,"[46, 14, 72, 52]"
264,264.png,2190,"[2, 1, 9, 0]",4,108,40,"[27, 3, 83, 34]"
265,265.png,76,"[7, 6]",2,143,66,"[46, 7, 95, 55]"
266,266.png,50,"[5, 0]",2,327,133,"[125, 26, 223, 116]"
267,267.png,21,"[2, 1]",2,118,80,"[3, 9, 51, 65]"
268,268.png,6,[6],1,94,45,"[34, 12, 42, 36]"
269,269.png,353,"[3, 5, 3]",3,117,47,"[33, 5, 88, 39]"
270,270.png,255,"[2, 5, 5]",3,85,36,"[25, 1, 64, 33]"
271,271.png,19,"[1, 9]",2,57,27,"[18, 1, 37, 25]"
272,272.png,464,"[4, 6, 4]",3,125,56,"[44, 4, 84, 42]"
273,273.png,9,[9],1,80,43,"[31, 8, 49, 35]"
274,274.png,166,"[1, 6, 6]",3,85,34,"[28, 3, 60, 32]"
275,275.png,25,"[2, 5]",2,81,32,"[27, 4, 61, 26]"
276,276.png,178,"[1, 7, 8]",3,83,37,"[26, 10, 55, 30]"
277,277.png,57,"[5, 7]",2,70,32,"[29, 6, 40, 23]"
278,278.png,14,"[1, 4]",2,192,86,"[84, 24, 110, 54]"
279,279.png,11,"[1, 1]",2,88,47,"[34, 5, 54, 39]"
280,280.png,1,[1],1,63,28,"[23, 5, 33, 21]"
281,281.png,29,"[2, 9]",2,67,31,"[22, 1, 41, 26]"
282,282.png,37,"[3, 7]",2,64,27,"[21, 3, 42, 21]"
283,283.png,113,"[1, 1, 3]",3,249,96,"[142, 49, 167, 80]"
284,284.png,11,"[1, 1]",2,56,27,"[21, 6, 33, 19]"
285,285.png,61,"[6, 1]",2,111,55,"[45, 11, 64, 44]"
286,286.png,13,"[1, 3]",2,149,68,"[57, 14, 92, 53]"
287,287.png,41,"[4, 1]",2,112,55,"[41, 8, 70, 46]"
288,288.png,292,"[2, 9, 2]",3,232,86,"[90, 24, 151, 61]"
289,289.png,11,"[1, 1]",2,117,59,"[49, 16, 64, 47]"
290,290.png,11,"[1, 1]",2,180,83,"[74, 17, 109, 64]"
291,291.png,608,"[6, 0, 8]",3,63,26,"[19, 5, 43, 22]"
292,292.png,4,[4],1,118,62,"[48, 4, 78, 60]"
293,293.png,74,"[7, 4]",2,70,34,"[28, 2, 46, 30]"
294,294.png,104,"[1, 0, 4]",3,157,59,"[52, 2, 110, 50]"
295,295.png,11,"[1, 1]",2,61,26,"[19, 1, 43, 24]"
296,296.png,33,"[3, 3]",2,116,48,"[46, 15, 70, 34]"
297,297.png,60,"[6, 0]",2,223,99,"[78, 19, 152, 75]"
298,298.png,151,"[1, 5, 1]",3,77,28,"[27, 5, 46, 19]"
299,299.png,79,"[7, 9]",2,71,28,"[26, 6, 44, 21]"
300,300.png,9,[9],1,204,105,"[85, 24, 118, 79]"
301,301.png,6,[6],1,40,21,"[16, 1, 25, 18]"
302,302.png,50,"[5, 0]",2,86,42,"[32, 6, 57, 39]"
303,303.png,23,"[2, 3]",2,77,33,"[25, 4, 49, 26]"
304,304.png,17,"[1, 7]",2,76,35,"[25, 5, 51, 33]"
305,305.png,153,"[1, 5, 3]",3,68,28,"[24, 6, 44, 22]"
306,306.png,87,"[8, 7]",2,125,56,"[44, 8, 78, 49]"
307,307.png,23,"[2, 3]",2,263,117,"[85, 9, 184, 103]"
308,308.png,218,"[2, 1, 8]",3,159,63,"[56, 13, 105, 48]"
309,309.png,124,"[1, 2, 4]",3,112,54,"[45, 16, 71, 40]"
310,310.png,68,"[6, 8]",2,62,25,"[19, 3, 44, 24]"
311,311.png,13,"[1, 3]",2,110,53,"[35, 1, 76, 47]"
312,312.png,12,"[1, 2]",2,85,39,"[24, 7, 51, 32]"
313,313.png,14,"[1, 4]",2,40,17,"[11, 2, 24, 17]"
314,314.png,48,"[4, 8]",2,99,42,"[35, 2, 65, 36]"
315,315.png,421,"[4, 2, 1]",3,52,20,"[17, 1, 35, 18]"
316,316.png,25,"[2, 5]",2,156,66,"[52, 9, 110, 60]"
317,317.png,44,"[4, 4]",2,43,20,"[15, 1, 27, 18]"
318,318.png,171,"[1, 7, 1]",3,71,31,"[19, 1, 50, 29]"
319,319.png,68,"[6, 8]",2,199,112,"[92, 21, 169, 90]"
320,320.png,73,"[7, 3]",2,109,54,"[35, 7, 71, 47]"
321,321.png,405,"[4, 0, 5]",3,307,93,"[157, 31, 203, 52]"
322,322.png,31,"[3, 1]",2,78,38,"[26, 4, 46, 32]"
323,323.png,41,"[4, 1]",2,165,75,"[59, 9, 108, 67]"
324,324.png,266,"[2, 6, 6]",3,155,56,"[40, 5, 113, 46]"
325,325.png,450,"[4, 5, 0]",3,240,76,"[62, 28, 104, 60]"
326,326.png,30,"[3, 0]",2,184,74,"[52, 3, 132, 69]"
327,327.png,166,"[1, 6, 6]",3,157,86,"[66, 18, 91, 46]"
328,328.png,77,"[7, 7]",2,120,63,"[48, 10, 74, 53]"
329,329.png,114,"[1, 1, 4]",3,51,22,"[17, 4, 37, 18]"
330,330.png,11,"[1, 1]",2,145,63,"[58, 9, 91, 58]"
331,331.png,23,"[2, 3]",2,126,55,"[37, 9, 88, 47]"
332,332.png,1,[1],1,67,28,"[28, 2, 36, 25]"
333,333.png,148,"[1, 4, 8]",3,118,54,"[36, 11, 73, 47]"
334,334.png,1648,"[1, 6, 4, 8]",4,106,41,"[38, 11, 67, 31]"
335,335.png,15,"[1, 5]",2,121,56,"[41, 9, 78, 50]"
336,336.png,54,"[5, 4]",2,100,36,"[36, 4, 62, 28]"
337,337.png,110,"[1, 1, 0]",3,420,162,"[159, 62, 263, 135]"
338,338.png,553,"[5, 5, 3]",3,136,69,"[53, 10, 119, 56]"
339,339.png,82,"[8, 2]",2,197,87,"[66, 15, 132, 74]"
340,340.png,43,"[4, 3]",2,76,40,"[27, 5, 51, 35]"
341,341.png,289,"[2, 8, 9]",3,311,124,"[100, 31, 212, 99]"
342,342.png,18,"[1, 8]",2,172,75,"[47, 6, 123, 71]"
343,343.png,2,[2],1,136,68,"[56, 8, 83, 56]"
344,344.png,99,"[9, 9]",2,163,50,"[41, 5, 125, 47]"
345,345.png,4,[4],1,99,54,"[44, 9, 57, 43]"
346,346.png,48,"[4, 8]",2,54,25,"[19, 5, 34, 17]"
347,347.png,50,"[5, 0]",2,196,92,"[79, 19, 120, 67]"
348,348.png,8,[8],1,82,41,"[29, 1, 54, 40]"
349,349.png,2,[2],1,47,20,"[21, 5, 26, 16]"
350,350.png,32,"[3, 2]",2,92,40,"[28, 1, 62, 36]"
351,351.png,4,[4],1,83,47,"[34, 11, 50, 39]"
352,352.png,4,[4],1,116,68,"[50, 19, 64, 46]"
353,353.png,2744,"[2, 7, 4, 4]",4,135,71,"[51, 34, 85, 60]"
354,354.png,138,"[1, 3, 8]",3,123,53,"[40, 2, 87, 48]"
355,355.png,740,"[7, 4, 0]",3,52,18,"[13, 1, 39, 16]"
356,356.png,2,[2],1,94,39,"[39, 7, 58, 32]"
357,357.png,53,"[5, 3]",2,160,75,"[49, 10, 121, 66]"
358,358.png,28,"[2, 8]",2,72,36,"[27, 6, 44, 27]"
359,359.png,1,[1],1,55,28,"[22, 3, 27, 22]"
360,360.png,58,"[5, 8]",2,72,35,"[29, 6, 46, 28]"
361,361.png,17,"[1, 7]",2,111,54,"[43, 12, 69, 42]"
362,362.png,34,"[3, 4]",2,97,41,"[33, 7, 65, 33]"
363,363.png,830,"[8, 3, 0]",3,259,100,"[103, 30, 154, 68]"
364,364.png,6,[6],1,75,40,"[29, 6, 46, 32]"
365,365.png,83,"[8, 3]",2,174,94,"[67, 11, 109, 79]"
366,366.png,4,[4],1,161,90,"[62, 7, 100, 81]"
367,367.png,15,"[1, 5]",2,121,63,"[43, 9, 78, 54]"
368,368.png,56,"[5, 6]",2,59,24,"[19, 1, 40, 19]"
369,369.png,16,"[1, 6]",2,115,55,"[36, 3, 77, 49]"
370,370.png,11,"[1, 1]",2,106,54,"[37, 5, 72, 55]"
371,371.png,8,[8],1,82,46,"[35, 1, 47, 37]"
372,372.png,15,"[1, 5]",2,55,27,"[19, 1, 37, 27]"
373,373.png,38,"[3, 8]",2,143,62,"[45, 8, 94, 55]"
374,374.png,96,"[9, 6]",2,69,33,"[29, 7, 44, 25]"
375,375.png,315,"[3, 1, 5]",3,311,142,"[113, 23, 199, 118]"
